date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score
2020-04-16 16:28:41.470791,"(1, 1)",25,Yes,0.2,RandomForest,0.07163323782234958,25,0.9283667621776504,0.4892019201509118,0.12633498306850746,0.3417135952236239,0.31690140845070425,0.5717916137229987,0.4155124653739612,0.4812834224598929
2020-04-16 16:28:47.758556,"(1, 1)",25,Yes,0.3,RandomForest,0.0830945558739255,29,0.9169054441260744,0.4903960835859149,0.12555352956499088,0.3489081874826861,0.3211267605633803,0.575031525851198,0.42105263157894735,0.4861407249466951
2020-04-16 16:28:54.235683,"(1, 1)",25,Yes,0.4,RandomForest,0.07163323782234958,25,0.9283667621776504,0.4859057404168013,0.1268559520708518,0.3350498951859983,0.31068648266100496,0.5708712613784135,0.4053554939981533,0.4740820734341253
2020-04-16 16:29:00.866927,"(1, 1)",50,Yes,0.2,RandomForest,0.09455587392550144,33,0.9054441260744984,0.5020575419723811,0.12320916905444125,0.35011840674448125,0.321377331420373,0.5902503293807642,0.4136657433056325,0.4864277958740499
2020-04-16 16:29:07.469366,"(1, 1)",50,Yes,0.3,RandomForest,0.08882521489971347,31,0.9111747851002864,0.5056108029456269,0.12034383954154727,0.3553976626684363,0.33091962346126,0.6052980132450331,0.42197599261311175,0.4972796517954298
2020-04-16 16:29:14.057380,"(1, 1)",50,Yes,0.4,RandomForest,0.09455587392550144,33,0.9054441260744984,0.5035218220889248,0.12164626204740818,0.3575125487374771,0.3299856527977044,0.5966277561608301,0.4247460757156048,0.4962243797195253
2020-04-16 16:29:21.082640,"(1, 1)",100,Yes,0.2,RandomForest,0.10888252148997137,38,0.8911174785100286,0.5234250613827313,0.12151601979682207,0.3666526525050881,0.33594306049822065,0.5944584382871536,0.4358264081255771,0.5029302077783697
2020-04-16 16:29:28.014619,"(1, 1)",100,Yes,0.3,RandomForest,0.1174785100286533,41,0.8825214899713467,0.5276144374050868,0.11930190153685855,0.37982247774511385,0.3438395415472779,0.605296343001261,0.443213296398892,0.5117270788912579
2020-04-16 16:29:34.883371,"(1, 1)",100,Yes,0.4,RandomForest,0.10315186246418337,36,0.8968481375358166,0.5260884151029251,0.12190674654858034,0.3745289571937137,0.3375796178343949,0.5910780669144982,0.4404432132963989,0.5047619047619049
2020-04-16 16:29:42.572662,"(1, 1)",500,Yes,0.2,RandomForest,0.11174785100286533,39,0.8882521489971347,0.568258013565943,0.11318051575931233,0.3969987430589149,0.3652300949598247,0.6361323155216285,0.4616805170821791,0.5350454788657035
2020-04-16 16:29:50.328009,"(1, 1)",500,Yes,0.3,RandomForest,0.1002865329512894,35,0.8997134670487106,0.5771590409633252,0.1134410002604845,0.3891423961266368,0.3609684519442407,0.6373056994818653,0.4542936288088642,0.5304582210242588
2020-04-16 16:29:58.018884,"(1, 1)",500,Yes,0.4,RandomForest,0.12607449856733524,44,0.8739255014326648,0.581512746362566,0.11109663974993488,0.3943029352055141,0.3676797627872497,0.6509186351706037,0.4579870729455217,0.537669376693767
2020-04-16 16:30:06.719162,"(1, 1)",1000,Yes,0.2,RandomForest,0.10888252148997137,38,0.8911174785100286,0.5742296294727218,0.11396196926282888,0.3949749231984189,0.35803374908290536,0.6354166666666666,0.4506001846722069,0.5272825499729875
2020-04-16 16:30:15.235410,"(1, 1)",1000,Yes,0.3,RandomForest,0.11174785100286533,39,0.8882521489971347,0.5765635807954788,0.11018494399583224,0.402844914556949,0.3686567164179104,0.6577896138482024,0.456140350877193,0.5387131952017449
2020-04-16 16:30:23.791026,"(1, 1)",1000,Yes,0.4,RandomForest,0.1174785100286533,41,0.8825214899713467,0.5793362042299359,0.11031518624641834,0.4002314384119541,0.3693224125093075,0.6560846560846559,0.4579870729455217,0.5394235997824904
2020-04-16 16:30:28.596641,"(2, 2)",25,Yes,0.2,RandomForest,0.06876790830945559,24,0.9312320916905444,0.496030628482536,0.119953112789789,0.3557219762090822,0.3202952029520295,0.6147308781869688,0.4007386888273315,0.4851872554499721
2020-04-16 16:30:33.369709,"(2, 2)",25,Yes,0.3,RandomForest,0.0659025787965616,23,0.9340974212034384,0.4955230720582179,0.12073456629330555,0.3540595269105298,0.3208791208791209,0.6083333333333333,0.40443213296398894,0.4858569051580699
2020-04-16 16:30:38.078405,"(2, 2)",25,Yes,0.4,RandomForest,0.06876790830945559,24,0.9312320916905444,0.4982455786758834,0.11956238603803075,0.3588384872052494,0.3259911894273128,0.6141078838174274,0.4099722991689751,0.4916943521594685
2020-04-16 16:30:43.116013,"(2, 2)",50,Yes,0.2,RandomForest,0.07736389684813752,27,0.9226361031518624,0.5056012023235039,0.12034383954154727,0.3419467908722923,0.31044776119402984,0.6181277860326895,0.3841181902123729,0.4738041002277905
2020-04-16 16:30:48.225125,"(2, 2)",50,Yes,0.3,RandomForest,0.06876790830945559,24,0.9312320916905444,0.5040007218910534,0.12190674654858034,0.339123531673675,0.3097345132743363,0.6060606060606061,0.3878116343490305,0.47297297297297297
2020-04-16 16:30:53.258428,"(2, 2)",50,Yes,0.4,RandomForest,0.06876790830945559,24,0.9312320916905444,0.5043852414165356,0.121385777546236,0.3380672256746755,0.3075780089153046,0.6115214180206795,0.3822714681440443,0.4704545454545455
