date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score
2020-04-10 00:19:28.270796,"(1, 1)",25,Yes,0.2,RandomForest,0.07449856733524356,26,0.9255014326647564,0.7120981772225444,0.13363896848137535,0.5249025505736409,0.515378221113882,0.7213496218731821,0.6434872859366891,0.6801974766867801
2020-04-10 00:22:37.282674,"(1, 1)",50,Yes,0.2,RandomForest,0.04297994269340974,15,0.9570200573065902,0.7103024746911479,0.13902578796561604,0.5231891522910977,0.5071109305160504,0.7003367003367004,0.6476388168137001,0.6729576705311405
2020-04-10 00:23:15.936165,"(1, 1)",100,Yes,0.2,RandomForest,0.06876790830945559,24,0.9312320916905444,0.7234576334168314,0.13146131805157593,0.5408175084939524,0.5248550124275062,0.7223489167616876,0.6574987026466009,0.6883998913338767
2020-04-10 00:24:38.563454,"(1, 1)",500,Yes,0.2,RandomForest,0.06876790830945559,24,0.9312320916905444,0.7462039598709416,0.12515759312320918,0.5560686255717171,0.5415617128463476,0.7392550143266475,0.6694343539180073,0.7026143790849673
2020-04-10 00:25:14.301013,"(1, 1)",1000,Yes,0.2,RandomForest,0.07163323782234958,25,0.9283667621776504,0.7410805803379669,0.12297994269340976,0.5625916050135624,0.5502933780385583,0.7409706546275395,0.6813700051894136,0.7099216004325493
2020-04-10 00:26:17.090540,"(1, 1)",5000,Yes,0.2,RandomForest,0.06303724928366762,22,0.9369627507163324,0.7535860660814939,0.12469914040114613,0.5585345852726338,0.5441977377461248,0.7384877771461057,0.6741048261546445,0.7048290830168203
2020-04-10 00:27:29.168941,"(1, 1)",25,Yes,0.3,RandomForest,0.05353728489483748,28,0.9464627151051626,0.6956822325190515,0.13506692160611855,0.5194302712305837,0.5097168239866741,0.6980988593155893,0.6538461538461539,0.6752482530342038
2020-04-10 00:27:59.406026,"(1, 1)",50,Yes,0.3,RandomForest,0.05544933078393882,29,0.9445506692160612,0.699360709764589,0.1356022944550669,0.5263252794874067,0.5104914411927112,0.6943297033420954,0.6584757834757835,0.6759276183513071
2020-04-10 00:28:32.722426,"(1, 1)",100,Yes,0.3,RandomForest,0.05544933078393882,29,0.9445506692160612,0.7167331851473068,0.13147227533460806,0.5328138223959101,0.5196982397317687,0.7069555302166477,0.6623931623931624,0.6839492553778269
2020-04-10 00:29:05.663818,"(1, 1)",500,Yes,0.3,RandomForest,0.07839388145315487,41,0.9216061185468452,0.7374335308750165,0.12252390057361374,0.5594878022821124,0.545144804088586,0.7289293849658315,0.6837606837606838,0.7056229327453143
2020-04-10 00:29:38.203747,"(1, 1)",1000,Yes,0.3,RandomForest,0.07074569789674952,37,0.9292543021032504,0.7346259472239263,0.12351816443594645,0.5548847819977998,0.5422335600907029,0.7265476642612989,0.6812678062678063,0.7031795625804079
2020-04-10 00:30:33.545432,"(1, 1)",5000,Yes,0.3,RandomForest,0.06118546845124283,32,0.9388145315487572,0.7415212436280862,0.12336520076481836,0.5551011844608562,0.5435766836445953,0.7257272383830752,0.6841168091168092,0.7043079743354721
2020-04-10 00:33:39.736400,"(2, 2)",25,Yes,0.2,RandomForest,0.03151862464183381,11,0.968481375358166,0.7191733398163909,0.13054441260744987,0.5390963110349327,0.527189705271897,0.7248858447488584,0.6590555267254801,0.6904050013590649
2020-04-10 00:34:07.077813,"(2, 2)",50,Yes,0.2,RandomForest,0.034383954154727794,12,0.9656160458452722,0.7002845184090366,0.13982808022922635,0.5011706134312076,0.4929343308395677,0.7123123123123123,0.6154644525168655,0.6603563474387527
2020-04-10 00:34:57.560888,"(2, 2)",100,Yes,0.2,RandomForest,0.05730659025787966,20,0.9426934097421203,0.7058398299107378,0.13936962750716336,0.5132995408217847,0.5046843177189411,0.7011884550084889,0.6429683445770628,0.6708175419599349
2020-04-10 00:35:35.954833,"(2, 2)",500,Yes,0.2,RandomForest,0.05730659025787966,20,0.9426934097421203,0.7079055672041328,0.13730659025787967,0.520650275636326,0.5110204081632653,0.7053521126760564,0.6497145822522055,0.6763911399243651
2020-04-10 00:37:06.032157,"(2, 2)",1000,Yes,0.2,RandomForest,0.06303724928366762,22,0.9369627507163324,0.70762126605038,0.13421203438395415,0.5343839060284544,0.5232084690553745,0.7083792723263506,0.6668396471198754,0.6869820903501737
2020-04-10 00:41:27.439033,"(2, 2)",5000,Yes,0.2,RandomForest,0.045845272206303724,16,0.9541547277936964,0.7280839120606178,0.12951289398280802,0.5399139722356431,0.5281837160751566,0.7299480669359493,0.6564608199273482,0.691256830601093
2020-04-10 00:43:38.508374,"(2, 2)",25,Yes,0.3,RandomForest,0.030592734225621414,16,0.9694072657743786,0.6993346142839207,0.1320076481835564,0.5293758494227331,0.5181462869905081,0.7057034220532319,0.6609686609686609,0.6826038984920927
2020-04-10 00:44:15.496267,"(2, 2)",50,Yes,0.3,RandomForest,0.034416826003824084,18,0.965583173996176,0.6863749424303428,0.13537284894837476,0.5143404370138679,0.5039237668161435,0.7028928850664582,0.6403133903133903,0.6701453596720091
2020-04-10 00:44:43.739518,"(2, 2)",100,Yes,0.3,RandomForest,0.05544933078393882,29,0.9445506692160612,0.6978714195464497,0.1364435946462715,0.5224051397164065,0.5116342732001095,0.6886514369933677,0.6655982905982906,0.6769286490402028
