0,0,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,1,0,1,1,1,0,1,1,1,1,0
7,0,0,1,0,1,1,1,0,1,1,1,1,0
10,0,0,1,0,0,0,0,0,0,0,0,1,0
11,0,0,1,0,1,0,0,1,0,0,0,1,0
15,1,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,1,1,1,1,1,0,1,1,1,1,0
19,0,0,1,1,1,1,0,0,0,1,0,1,0
22,0,0,1,0,1,1,0,0,0,0,0,1,0
24,0,0,1,0,0,0,0,0,0,0,0,1,0
27,0,1,1,0,0,1,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,1,0
32,0,0,1,0,0,0,0,0,0,0,0,1,0
35,0,0,1,0,1,1,1,0,1,1,1,1,0
43,0,0,1,0,1,1,1,0,1,1,1,1,0
44,0,0,1,0,1,1,1,0,1,1,1,1,0
45,0,0,1,0,1,1,1,0,1,1,1,1,0
46,0,0,1,0,1,1,1,0,1,1,1,1,0
47,0,0,1,0,0,0,0,0,0,0,0,0,0
48,0,0,1,0,1,1,1,0,0,1,0,1,0
