general,acc,f-measure,precision
XML,0.33392965818444886,0.6906666740775108,0.541262474656105
Concurrency,0.3954645229710473,0.7333333363135656,0.5942991813023885
HTTP,0.31739468947052957,0.7080000016838313,0.5141555894166231
Network,0.43152816402606475,0.782564102151455,0.5558256172216856
Memory,0.25,0.5199999809265137,0.653333306312561
OpenOfficeDocuments,0.31138231853644055,0.4400000025828679,0.8536481261253357
CommandLine,0.34035677183419466,0.6724999966099858,0.5713810715824366
Utils,0.41803321938085203,0.8114705868430582,0.49174970461457385
Throws,0.4087500390799149,0.7234782592757888,0.6419556309347567
Dependency,0.36673222657512217,0.7468235273571575,0.5210877600838156
Logging,0.4333635298599457,0.8016551716060474,0.5345320271520779
Latex,0.2809992858341762,0.634285711816379,0.5161420404911041
DataStructure,0.4173225462980514,0.809732359655002,0.49104332104506576
Utility,0.3574187880889936,0.717272724956274,0.5417562894184481
Test,0.353552804191093,0.7704918038893919,0.4688845602337454
Runtime,0.38249168444324183,0.7167567542275867,0.591532695937801
JDK,0.27445652335882187,0.5200000032782555,0.6569565236568451
IO,0.43137242284285116,0.8041772144976296,0.5215410765826325
UI,0.41468273394382915,0.8077538453157131,0.49748707918020396
Annotation ,0.0,0.0,0.0
Security,0.34983733973719855,0.6618181859905069,0.6455937353047457
UserPreferences,0.38791614221899134,0.7199999992000429,0.62934108431402
Database,0.3624854598726545,0.7200000077486038,0.5317871400288173
Data,0.41661302555460955,0.8095145627349905,0.490264089687646
Monitoring,0.23130861048897108,0.6299999964733919,0.49317233140269917
TextUtility,0.3574187880889936,0.717272724956274,0.5417562894184481
