pr,acc,f-measure,precision
3778,0.6666666865348816,0.92,0.7466666666666666
3783,0.4000000059604645,0.76,0.4933333333333333
3784,0.5,0.88,0.62
3785,0.6666666865348816,0.92,0.7466666666666666
3789,0.20000000298023224,0.8399999999999999,0.165
3790,0.625,0.88,0.6352380952380953
3798,0.4166666567325592,0.72,0.6267916865742953
3800,0.0,0.8000000000000002,0.04
3801,0.4000000059604645,0.88,0.3733333333333333
3806,0.2857142984867096,0.8000000000000002,0.30666666666666664
3808,0.6666666865348816,0.88,0.7228571428571428
3820,0.5,0.88,0.48999999999999994
3821,0.7142857313156128,0.92,0.7344444444444446
3824,0.800000011920929,0.96,0.8
3825,0.8333333134651184,0.96,0.8333333333333334
3826,0.6666666865348816,0.92,0.6666666666666666
3847,0.5,0.88,0.53
3862,0.6000000238418579,0.8399999999999999,0.76
3863,0.4285714328289032,0.8399999999999999,0.5885714285714285
3865,0.2857142984867096,0.8000000000000002,0.38222222222222224
3871,0.3333333432674408,0.8399999999999999,0.3333333333333333
3872,0.7142857313156128,0.92,0.7142857142857143
3878,0.3333333432674408,0.68,0.3466666666666667
3881,0.4000000059604645,0.76,0.4933333333333333
3882,0.4285714328289032,0.8399999999999999,0.495
3883,0.4444444477558136,0.8000000000000002,0.56
3884,0.0,0.76,0.12
3886,0.375,0.8000000000000002,0.38
3887,0.1666666716337204,0.8000000000000002,0.16666666666666666
3891,0.3333333432674408,0.8399999999999999,0.38666666666666666
3895,0.2857142984867096,0.8000000000000002,0.2857142857142857
3899,0.0,0.92,0.165
3904,0.5,0.8399999999999999,0.5244444444444444
3907,0.20000000298023224,0.68,0.18814814814814815
3909,0.4545454680919647,0.76,0.45666666666666667
3911,0.0,0.68,0.04
3919,0.20000000298023224,0.8399999999999999,0.165
3927,0.1428571492433548,0.76,0.14666666666666667
3931,0.2857142984867096,0.8000000000000002,0.7542857142857142
3932,0.1428571492433548,0.76,0.19
3942,0.625,0.88,0.6352380952380953
3944,0.4545454680919647,0.76,0.510625
3947,0.5,0.88,0.5
3950,0.375,0.8000000000000002,0.38
3954,0.4000000059604645,0.64,0.42615384615384616
3964,0.3333333432674408,0.8399999999999999,0.38666666666666666
3965,0.30000001192092896,0.72,0.305
3967,0.8333333134651184,0.96,0.8333333333333334
3968,0.375,0.8000000000000002,0.48142857142857143
3970,0.1428571492433548,0.76,0.3828571428571429
3976,0.6666666865348816,0.92,0.7466666666666666
3979,0.4545454680919647,0.76,0.5568253968253969
3983,0.5,0.92,0.58
3984,0.4000000059604645,0.88,0.41333333333333333
3987,0.4285714328289032,0.8399999999999999,0.495
3988,0.1666666716337204,0.8000000000000002,0.16333333333333333
3996,0.4285714328289032,0.8399999999999999,0.44
4002,0.3333333432674408,0.76,0.33714285714285713
4004,0.4000000059604645,0.88,0.4
4011,0.3636363744735718,0.72,0.36000000000000004
4015,0.4285714328289032,0.68,0.7485714285714286
4016,0.4285714328289032,0.8399999999999999,0.495
4019,0.25,0.88,0.24666666666666665
